id,text,value
15012,Arpajon-sur-Cère - 15130,arpajon-sur-cere
15013,Auriac-l'Église - 15500,auriac-l-eglise
15014,Aurillac - 15000,aurillac
15015,Auzers - 15240,auzers
15016,Ayrens - 15250,ayrens
15017,Badailhac - 15800,badailhac
15018,Barriac-les-Bosquets - 15700,barriac-les-bosquets
15019,Bassignac - 15240,bassignac
13216,Marseille 16e Arrondissement - 13016,marseille-16
16001,Abzac - 16500,abzac
16002,Les Adjots - 16700,les-adjots
16003,Agris - 16110,agris
16005,Aigre - 16140,aigre
16007,Alloue - 16490,alloue
16008,Ambérac - 16140,amberac
16009,Ambernac - 16490,ambernac
16010,Ambleville - 16300,ambleville
16011,Anais - 16560,anais
16012,Angeac-Champagne - 16130,angeac-champagne
16013,Angeac-Charente - 16120,angeac-charente
16014,Angeduc - 16300,angeduc
16015,Angoulême - 16000,angouleme
16016,Ansac-sur-Vienne - 16500,ansac-sur-vienne
16017,Anville - 16170,anville
16018,Ars - 16130,ars
16019,Asnières-sur-Nouère - 16290,asnieres-sur-nouere
16020,Aubeterre-sur-Dronne - 16390,aubeterre-sur-dronne
16023,Aunac-sur-Charente - 16460,aunac
17002,Agudelle - 17500,agudelle
17003,Aigrefeuille-d'Aunis - 17290,aigrefeuille-d-aunis
17004,Île-d'Aix - 17123,ile-d-aix
17005,Allas-Bocage - 17150,allas-bocage
17006,Allas-Champagne - 17500,allas-champagne
17007,Anais - 17540,anais-2
17008,Andilly - 17230,andilly
17009,Angliers - 17540,angliers
17010,Angoulins - 17690,angoulins
17011,Annepont - 17350,annepont
17012,Annezay - 17380,annezay
17013,Antezant-la-Chapelle - 17400,antezant-la-chapelle
17015,Arces - 17120,arces
17016,Archiac - 17520,archiac
17017,Archingeay - 17380,archingeay
17018,Ardillières - 17290,ardillieres
17019,Ars-en-Ré - 17590,ars-en-re
17020,Arthenac - 17520,arthenac
17021,Arvert - 17530,arvert
17022,Asnières-la-Giraud - 17400,asnieres-la-giraud
18001,Achères - 18250,acheres
18002,Ainay-le-Vieil - 18200,ainay-le-vieil
18003,Les Aix-d'Angillon - 18220,les-aix-d-angillon
18004,Allogny - 18110,allogny
18005,Allouis - 18500,allouis
18006,Annoix - 18340,annoix
18007,Apremont-sur-Allier - 18150,apremont-sur-allier
18008,Arçay - 18340,arcay
