id,text,value
03232,Saint-Félix - 03260,saint-felix
03236,Saint-Germain-des-Fossés - 03260,saint-germain-des-fosses
03273,Seuillet - 03260,seuillet
04063,Corbières-en-Provence - 04220,corbieres
04197,Sainte-Tulle - 04220,sainte-tulle
09073,Camarade - 09290,camarade
09127,Gabre - 09290,gabre
09181,Le Mas-d'Azil - 09290,le-mas-d-azil
09003,L'Aiguillon - 09300,l-aiguillon
09047,Bélesta - 09300,belesta
09051,Bénaix - 09300,benaix
09080,Carla-de-Roquefort - 09300,carla-de-roquefort
09106,Dreuilhe - 09300,dreuilhe
09125,Fougax-et-Barrineuf - 09300,fougax-et-barrineuf
09126,Freychenet - 09300,freychenet
09142,Ilhat - 09300,ilhat
09160,Lavelanet - 09300,lavelanet
09165,Lesparrou - 09300,lesparrou
09166,Leychert - 09300,leychert
09168,Lieurac - 09300,lieurac
09206,Montferrier - 09300,montferrier
09211,Montségur - 09300,montsegur
09215,Nalzen - 09300,nalzen
09227,Péreille - 09300,pereille
09242,Raissac - 09300,raissac
09249,Roquefixade - 09300,roquefixade
09250,Roquefort-les-Cascades - 09300,roquefort-les-cascades
09262,Saint-Jean-d'Aigues-Vives - 09300,saint-jean-d-aigues-vives
09281,Sautel - 09300,sautel
09336,Villeneuve-d'Olmes - 09300,villeneuve-d-olmes
04058,Claret - 05110,claret
04066,Curbans - 05110,curbans
05013,Barcillonnette - 05110,barcillonnette
05049,Esparron - 05110,esparron
05071,Lardier-et-Valença - 05110,lardier-et-valenca
05078,Monêtier-Allemont - 05110,monetier-allemont
05162,La Saulce - 05110,la-saulce
05184,Vitrolles - 05110,vitrolles
04150,Piégut - 05130,piegut
04234,Venterol - 05130,venterol
05057,Fouillouse - 05130,fouillouse
05068,Jarjayes - 05130,jarjayes
05074,Lettret - 05130,lettret
05140,Saint-Étienne-le-Laus - 05130,saint-etienne-le-laus
05168,Sigoyer - 05130,sigoyer-2
05170,Tallard - 05130,tallard
05176,Valserres - 05130,valserres
10043,Bessy - 10170,bessy
10090,Chauchigny - 10170,chauchigny
10131,Droupt-Saint-Basle - 10170,droupt-saint-basle
10132,Droupt-Sainte-Marie - 10170,droupt-sainte-marie
10144,Étrelles-sur-Aube - 10170,etrelles-sur-aube
10166,Les Grandes-Chapelles - 10170,les-grandes-chapelles
10207,Longueville-sur-Aube - 10170,longueville-sur-aube
10233,Méry-sur-Seine - 10170,mery-sur-seine
10234,Mesgrigny - 10170,mesgrigny
10274,Orvilliers-Saint-Julien - 10170,orvilliers-saint-julien
10305,Prémierfait - 10170,premierfait
10316,Rhèges - 10170,rheges
10356,Saint-Oulph - 10170,saint-oulph
10392,Vallant-Saint-Georges - 10170,vallant-saint-georges
04154,Pontis - 05160,pontis
05114,Réallon - 05160,reallon
05130,Saint-Apollinaire - 05160,saint-apollinaire
05163,Le Sauze-du-Lac - 05160,le-sauze-du-lac
05164,Savines-le-Lac - 05160,savines-le-lac
10216,Mailly-le-Camp - 10230,mailly-le-camp
05096,Orcières - 05170,orcieres
10023,Avon-la-Pèze - 10290,avon-la-peze
10038,Bercenay-le-Hayer - 10290,bercenay-le-hayer
10054,Bourdenay - 10290,bourdenay
10085,Charmoy - 10290,charmoy
10145,Faux-Villecerf - 10290,faux-villecerf
10146,Fay-lès-Marcilly - 10290,fay-les-marcilly
10223,Marcilly-le-Hayer - 10290,marcilly-le-hayer
10301,Pouy-sur-Vannes - 10290,pouy-sur-vannes
10318,Rigny-la-Nonneuse - 10290,rigny-la-nonneuse
10383,Trancault - 10290,trancault
10410,Villadin - 10290,villadin
10211,Macey - 10300,macey
10248,Montgueux - 10300,montgueux
10362,Sainte-Savine - 10300,sainte-savine
10013,Assenay - 10320,assenay
10051,Bouilly - 10320,bouilly
10116,Crésantignes - 10320,cresantignes
10147,Fays-la-Chapelle - 10320,fays-la-chapelle
10177,Javernant - 10320,javernant
10179,Jeugny - 10320,jeugny
10198,Lirey - 10320,lirey
10204,Longeville-sur-Mogne - 10320,longeville-sur-mogne
10212,Machy - 10320,machy
10229,Maupas - 10320,maupas
10324,Roncenay - 10320,roncenay
10342,Saint-Jean-de-Bonneval - 10320,saint-jean-de-bonneval
10371,Sommeval - 10320,sommeval
10373,Souligny - 10320,souligny
10425,Villery - 10320,villery
10009,Arrelles - 10340,arrelles
10022,Avirey-Lingey - 10340,avirey-lingey
10025,Bagneux-la-Fosse - 10340,bagneux-la-fosse
10058,Bragelogne-Beauvoir - 10340,bragelogne-beauvoir
10079,Channes - 10340,channes
10317,Les Riceys - 10340,les-riceys
10020,Avant-lès-Marcilly - 10400,avant-les-marcilly
10031,Barbuise - 10400,barbuise
10057,Bouy-sur-Orvin - 10400,bouy-sur-orvin
10106,Courceroy - 10400,courceroy
10148,Ferreux-Quincey - 10400,ferreux-quincey
10153,Fontaine-Mâcon - 10400,fontaine-macon
10154,Fontenay-de-Bossery - 10400,fontenay-de-bossery
10169,Gumery - 10400,gumery
10208,La Louptière-Thénard - 10400,la-louptiere-thenard
10225,Marnay-sur-Seine - 10400,marnay-sur-seine
10231,Le Mériot - 10400,le-meriot
10254,Montpothier - 10400,montpothier
10259,La Motte-Tilly - 10400,la-motte-tilly
10268,Nogent-sur-Seine - 10400,nogent-sur-seine
10284,Périgny-la-Rose - 10400,perigny-la-rose
10291,Plessis-Barbuise - 10400,plessis-barbuise
10298,Pont-sur-Seine - 10400,pont-sur-seine
10334,Saint-Aubin - 10400,saint-aubin-2
10355,Saint-Nicolas-la-Chapelle - 10400,saint-nicolas-la-chapelle
10367,La Saulsotte - 10400,la-saulsotte
10370,Soligny-les-Étangs - 10400,soligny-les-etangs
10382,Traînel - 10400,trainel
10421,La Villeneuve-au-Châtelot - 10400,la-villeneuve-au-chatelot
10332,Ruvigny - 10410,ruvigny
10357,Saint-Parres-aux-Tertres - 10410,saint-parres-aux-tertres
10375,Thennelières - 10410,thennelieres
10412,Villechétif - 10410,villechetif
10265,Les Noës-près-Troyes - 10420,les-noes-pres-troyes
10325,Rosières-près-Troyes - 10430,rosieres-pres-troyes
07059,Châteaubourg - 07130,chateaubourg
07070,Cornas - 07130,cornas
07281,Saint-Péray - 07130,saint-peray
07293,Saint-Romain-de-Lerps - 07130,saint-romain-de-lerps
07316,Soyons - 07130,soyons
07323,Toulaud - 07130,toulaud
07001,Accons - 07160,accons
07049,Le Chambon - 07160,le-chambon
07064,Le Cheylard - 07160,le-cheylard
07082,Dornas - 07160,dornas
07108,Jaunac - 07160,jaunac
07150,Mariac - 07160,mariac
07165,Nonières - 07160,nonieres
07209,Saint-Andéol-de-Fourchades - 07160,saint-andeol-de-fourchades
07215,Saint-Barthélemy-le-Meil - 07160,saint-barthelemy-le-meil
07220,Saint-Christol - 07160,saint-christol
07222,Saint-Cierge-sous-le-Cheylard - 07160,saint-cierge-sous-le-cheylard
07239,Saint-Genest-Lachamp - 07160,saint-genest-lachamp
07248,Saint-Jean-Roure - 07160,saint-jean-roure
07256,Saint-Julien-Labrousse - 07160,saint-julien-labrousse
07276,Saint-Michel-d'Aurance - 07160,saint-michel-d-aurance
07077,Darbres - 07170,darbres
07138,Lavilledieu - 07170,lavilledieu
07145,Lussas - 07170,lussas
07159,Mirabel - 07170,mirabel
07208,Saint-Andéol-de-Berg - 07170,saint-andeol-de-berg
07241,Saint-Germain - 07170,saint-germain
07263,Saint-Laurent-sous-Coiron - 07170,saint-laurent-sous-coiron
07273,Saint-Maurice-d'Ibie - 07170,saint-maurice-d-ibie
07341,Villeneuve-de-Berg - 07170,villeneuve-de-berg
07002,Ailhon - 07200,ailhon
07019,Aubenas - 07200,aubenas
07091,Fons - 07200,fons
07116,Labégude - 07200,labegude
07122,Lachapelle-sous-Aubenas - 07200,lachapelle-sous-aubenas
07131,Lanas - 07200,lanas
07141,Lentillères - 07200,lentilleres
07155,Mercuer - 07200,mercuer
07190,Rochecolombe - 07200,rochecolombe
07229,Saint-Didier-sous-Aubenas - 07200,saint-didier-sous-aubenas
07230,Saint-Étienne-de-Boulogne - 07200,saint-etienne-de-boulogne
07231,Saint-Étienne-de-Fontbellon - 07200,saint-etienne-de-fontbellon
07254,Saint-Julien-du-Serre - 07200,saint-julien-du-serre
07272,Saint-Maurice-d'Ardèche - 07200,saint-maurice-d-ardeche
07277,Saint-Michel-de-Boulogne - 07200,saint-michel-de-boulogne
07289,Saint-Privat - 07200,saint-privat
07296,Saint-Sernin - 07200,saint-sernin
07325,Ucel - 07200,ucel
07339,Vesseaux - 07200,vesseaux
07348,Vogüé - 07200,vogue
07048,Chalencon - 07240,chalencon
07060,Châteauneuf-de-Vernoux - 07240,chateauneuf-de-vernoux
07214,Saint-Apollinaire-de-Rias - 07240,saint-apollinaire-de-rias
07244,Saint-Jean-Chambre - 07240,saint-jean-chambre
07257,Saint-Julien-le-Roux - 07240,saint-julien-le-roux
07314,Silhac - 07240,silhac
07338,Vernoux-en-Vivarais - 07240,vernoux-en-vivarais
07181,Le Pouzin - 07250,le-pouzin
07198,Rompon - 07250,rompon
07081,Dompnac - 07260,dompnac
07110,Joyeuse - 07260,joyeuse
07189,Ribes - 07260,ribes
07199,Rosières - 07260,rosieres
07202,Sablières - 07260,sablieres
07275,Saint-Mélany - 07260,saint-melany
07336,Vernon - 07260,vernon
11014,Armissan - 11110,armissan
11106,Coursan - 11110,coursan
11370,Salles-d'Aude - 11110,salles-d-aude
