url,marque,id_variante,nom_attr_1,val_attr_1,nom_attr_2,val_attr_2,nom_attr_3,val_attr_3,nom_attr_4,val_attr_4,nom_attr_5,val_attr_5,nom_attr_6,val_attr_6,nom_attr_7,val_attr_7,designation,reference,sku,code_article_fournisseur,descritptif,prix_reference,prix_promo_unitaire,quantite_degressif_1,prix_promo_degressif_1,quantite_degressif_2,prix_promo_degressif_2,quantite_degressif_3,prix_promo_degressif_3,quantite_degressif_4,prix_promo_degressif_4
/shop/product/product-3440?page=2202,,3440,,,,,,,,,,,,,,,FLOW NEEDLES 0.8MM 20PCS.,07.8469,,,,16.75,,,,,,,,,
/shop/product/product-3439?page=2202,,3439,,,,,,,,,,,,,,,SOLOMAT CLICK 1,08.214111,,,,32.86,,,,,,,,,
/shop/product/product-3435?page=2202,,3435,,,,,,,,,,,,,,,DISPENCER SOLOMAT 000,08.223000,,,,102.05,,,,,,,,,
/shop/product/product-3426?page=2202,,3426,,,,,,,,,,,,,,,COOL TEMP MIXING TIPS BROWN POINTED,07.6748,,,,56.75,,,,,,,,,
/shop/product/product-3425?page=2202,,3425,,,,,,,,,,,,,,,TEMPOSIL 2 DENTIN INTRO KIT 2X5ML,07.6727,,,,43.2,,,,,,,,,
/shop/product/product-3424?page=2202,,3424,,,,,,,,,,,,,,,AFFINIS MONOBODY SYSTEM 360 STARTER KIT,07.6480,,,,219.25,,,,,,,,,
/shop/product/product-3423?page=2202,,3423,,,,,,,,,,,,,,,TEMPOSIL 2 DENTINE 4X5ML,07.6728,,,,79.96,,,,,,,,,
/shop/product/product-3422?page=2202,,3422,,,,,,,,,,,,,,,AFFINIS HB 50 ML,07.6590,,,,63.05,,,,,,,,,
/shop/product/product-3421?page=2202,,3421,,,,,,,,,,,,,,,AFFINIS HEAVY BODY STARTER KIT,07.6540,,,,201.7,,,,,,,,,
/shop/product/product-3419?page=2202,,3419,,,,,,,,,,,,,,,PRESIDENT MICRO SPREADER TIPS JET BITE,07.6223,,,,50.2,,,,,,,,,
/shop/product/product-11748?page=817,,11748,,,,,,,,,,,,,,,TETRIC EVOCERAM SERINGUE D3,13.590322,,,,61.9,49.9,1,49.9,4,46.9,,,,
/shop/product/product-11747?page=817,,11747,,,,,,,,,,,,,,,TETRIC EVOCERAM SERINGUE C2,13.590320,,,,61.9,49.9,1,49.9,4,46.9,,,,
/shop/product/product-11746?page=817,,11746,,,,,,,,,,,,,,,TETRIC EVOCERAM SERINGUE C1,13.590319,,,,61.9,49.9,1,49.9,4,46.9,,,,
/shop/product/product-11745?page=817,,11745,,,,,,,,,,,,,,,TETRIC EVOCERAM SERINGUE A4,13.590316,,,,61.9,49.9,1,49.9,4,46.9,,,,
/shop/product/product-11744?page=817,,11744,,,,,,,,,,,,,,,TETRIC EVOCERAM SERINGUE A3.5,13.590315,,,,61.9,49.9,1,49.9,4,46.9,,,,
/shop/product/product-11739?page=817,,11739,,,,,,,,,,,,,,,APEXIT PLUS 2X6G,13.593991,,,,143.26,,,,,,,,,
/shop/product/product-11737?page=817,,11737,,,,,,,,,,,,,,,TETRIC EVOCERAM CAVIFILS BLEACH L,13.590347,,,,87.4,75,1,75,4,68.89,,,,
/shop/product/product-11736?page=817,,11736,,,,,,,,,,,,,,,TETRIC EVOCERAM CAVIFILS XL,13.590346,,,,87.4,75,1,75,4,68.89,,,,
/shop/product/product-11735?page=817,,11735,,,,,,,,,,,,,,,TETRIC EVOCERAM CAVIFILS T,13.590345,,,,87.4,75,1,75,4,68.89,,,,
/shop/product/product-11734?page=817,,11734,,,,,,,,,,,,,,,TETRIC EVOCERAM CAVIFILS A3.5,13.590334,,,,87.4,75,1,75,4,68.89,,,,
/shop/product/product-11733?page=817,,11733,,,,,,,,,,,,,,,TETRIC EVOCERAM CAVIFILS A1,13.590331,,,,87.4,75,1,75,4,68.89,,,,
/shop/product/product-11732?page=817,,11732,,,,,,,,,,,,,,,TETRIC EVOCERAM SERINGUE T,13.590326,,,,61.9,49.9,1,49.9,4,46.9,,,,
/shop/product/product-12470?page=2004,,12470,,,,,,,,,,,,,,,BARRIER FILM 1200 SHEETS 100X150 WITH DISPEN.,17.30.U0014,,,,63.65,,,,,,,,,
/shop/product/product-12468?page=2004,,12468,,,,,,,,,,,,,,,FORAGE CAP IN SOFTESSE 50 PC,17.10.M0006.00,,,,89.6,,,,,,,,,
/shop/product/product-12467?page=2004,,12467,,,,,,,,,,,,,,,SUTURE SOIE 4-0 ROND 1/2 75 CM 20MM 36 PC,15.W586H,,,,371.26,,,,,,,,,
